Reference,Fm/Platform Name,Location,Lattitude,Longitude,Period,Series or stage,Lower,Upper,Center,Range,bin,Tepees,Pisoids
Read and Repetski (2012),Rome/Shady Dolomite,Eastern US,40.254385,-77.34729,Cambrian,Early,541,485,513,56,13,No,No
Kwon et al. (2002),Choson Supergroup,South Korea,38.667346,125.786345,Cambrian,Middle,541,485,513,56,13,No,No
Rankey et al. (1994),Maryville and Craig Ls,Tenessee,36.082675,-83.780697,Cambrian,Middle,541,485,513,56,13,No,No
Henderson and Dann (2010),Mail change LS,Australia,-19.615078,138.641506,Cambrian,Middle,541,485,513,56,13,No,No
Kwon et al. (2002),Choson Supergroup,South Korea,38.667346,125.786345,Cambrian,Late,541,485,513,56,13,No,No
Han et al. (2015),North China Platform,China,35.097113,117.659522,Cambrian,Early,541,485,513,56,13,Yes,No
Myrow and Coniglio (1991),Chapel Island Fm. ,Newfoundland,46.959533,-55.782564,Cambrian,Early,541,485,513,56,13,Yes,No
Grotzinger and  Al-Rawahi (2014),Ara Group,Oman,20.089319,57.099118,Cambrian,Early,541,485,513,56,13,Yes,No
Alvaro et al. (2000),Lancara Fm.,Spain,42.886955,-5.176587,Cambrian,Early,541,485,513,56,13,Yes,No
Bartley et al. (1998),Platonovskaya Formation,Siberia,60.533857,90.316297,Cambrian,Early,541,485,513,56,13,Yes,No
Alvaro et al. (2006),Anti-Atlas platform,Morocco,30.357421,-8.775338,Cambrian,Early,541,485,513,56,13,Yes,No
"Mount et al., (1991)",Deep Spring Fm.,Death Valley,36.909537,-117.09686,Cambrian,Early,541,485,513,56,13,Yes,No
Yang et al. (2017),Longwangmiao Fm.,China,30.839044,106.137046,Cambrian,Early,541,485,513,56,13,Yes,No
Osleger and Montanez (1996),Bonanza King,Nevada,36.206009,-116.021201,Cambrian,Middle,541,485,513,56,13,Yes,No
Bayet-Goll et al. (2015),Fasham and Deh-Sufiyan Formations,Iran,36.055502,53.918319,Cambrian,Middle,541,485,513,56,13,Yes,No
Raine and Smith (2017),Eilean Duhb Fm.,Ireland,58.447741,-4.757425,Cambrian,Middle,541,485,513,56,13,Yes,No
Elicki (2007),Burj Fm.,Jordan,30.747494,35.284239,Cambrian,Middle,541,485,513,56,13,Yes,No
Middleton (2001),Death Canyon Limestone,Wyoming,43.333583,-109.733521,Cambrian,Middle,541,485,513,56,13,Yes,No
Garzanti et al. (1986),Karsha Member,India,33.310972,76.879708,Cambrian,Middle,541,485,513,56,13,Yes,No
Chow and James (1992),Port au Port Group,Newfoundland,48.548503,-58.84365,Cambrian,Late,541,485,513,56,13,Yes,No
Osleger and Read (1991),Orr Formation,Utah,38.91733,-113.384742,Cambrian,Late,541,485,513,56,13,Yes,No
Osleger and Read (1991),Allentown Dolomite,Eastern US,38.171147,-79.005272,Cambrian,Late,541,485,513,56,13,Yes,No
 Keller et al. (1989),La Fletcha Fm.,Argentina,-31.844329,-69.074697,Cambrian,Late,541,485,513,56,13,Yes,No
Raine and Smith (2017),Eilean Duhb Fm.,Ireland,58.447741,-4.757425,Cambrian,Late,541,485,513,56,13,Yes,No
Sprechmann et al. (2004),Cerro Victoria Formation,Uruguay,-33.383562,-55.084233,Cambrian,Early,541,485,513,56,13,Yes,Yes
Pratt (2002),Cathedral Dolomite,British Colombia,50.9276,-115.075874,Cambrian,Middle,541,485,513,56,13,Yes,Yes
Goldhammer et al. (1993),El Paso Gp,Texas,31.951537,-106.017274,Ordovician,Lower,485,444,464.5,41,12,No,No
Cafias (1999),La Silla Fm.,Argentina,-30.07569,-68.831552,Ordovician,Lower,485,444,464.5,41,12,No,No
Rao (1990),Gordon Gp.,Tasmania,-42.100971,146.434957,Ordovician,Lower,485,444,464.5,41,12,No,No
Hersi and Dix (1999),St. Lawrence Platform,Ottowa,45.563473,-75.943885,Ordovician,Late,485,444,464.5,41,12,No,No
Liu (2009),North China Platform,North China,31.335897,110.731204,Ordovician,Early,485,444,464.5,41,12,Yes,No
Liu (2009),North China Platform,South China,41.085378,118.780264,Ordovician,Early,485,444,464.5,41,12,Yes,No
