Reference,Location,Sample depth,units,Na,SO4,Cl,Mg,Ca,Alkalinity ,pH,Temp
"Wood et al., (2005)",Abu Dhabi,nonmarine,mg/L,83000,750,200000,13400,12900,13,6.13,27
"Wood et al., (2005)",Abu Dhabi,nonmarine,mg/L,81500,900,190500,14400,8250,16,6.5,27
"Wood et al., (2005)",Abu Dhabi,nonmarine,mg/L,40300,200,240000,31000,40000,20,5.6,27
"Wood et al., (2005)",Abu Dhabi,nonmarine,mg/L,71500,650,197000,17900,15800,12,6,27
"Wood et al., (2005)",Abu Dhabi,nonmarine,mg/L,88000,2500,166000,5800,2900,8.5,6.5,27
"Wood et al., (2005)",Abu Dhabi,nonmarine,mg/L,92000,1700,177000,7700,5600,32,6.5,27
"Wood et al., (2005)",Abu Dhabi,nonmarine,mg/L,64500,250,204000,20500,269000,21,6.1,27
"Wood et al., (2005)",Abu Dhabi,nonmarine,mg/L,63000,2800,105000,3750,3500,45,7.6,27
"Wood et al., (2005)",Abu Dhabi,nonmarine,mg/L,81500,2150,157000,4700,4250,36,7.4,27
"Wood et al., (2002)",Abu Dhabi,porewater,mg/L,31000,10000,57000,3500,1400,78,7.34,20
"Wood et al., (2002)",Abu Dhabi,porewater,mg/L,60000,12000,112000,6700,1100,83,7.04,20
"Wood et al., (2002)",Abu Dhabi,porewater,mg/L,71000,8800,123000,6850,1450,71,6.94,20
"Wood et al., (2002)",Abu Dhabi,surface,mg/L,13000,3450,24000,1750,625,152,7.6,30
"Wood et al., (2002)",Abu Dhabi,surface,mg/L,13200,3400,24000,1700,625,140,7.6,30
"Wood et al., (2002)",Abu Dhabi,surface,mg/L,16100,3800,28500,2150,700,170,7.9,30
"Banat et al., (2005)",Jeddah,porewater,ppm,29990,8518,63583,4256,1002,305,7.2,15
"Banat et al., (2005)",Jeddah,porewater,ppm,26500,6997,56890,4377,801,183,7.1,15
"Banat et al., (2005)",Jeddah,porewater,ppm,23400,6735,56053,3648,1002,305,7.1,15
"Banat et al., (2005)",Jeddah,porewater,ppm,23800,6620,51870,8283,1603,244,7.2,15
"Banat et al., (2005)",Jeddah,porewater,ppm,42000,5475,86171,6080,1603,335,7.3,15
